DATETIME, TEMP-INTERNA, TEMP-EXTERNA, TEMP-REFERENCIA, ACIONAMENTO-ATUADOR(%)
23-03-2021-10:55:32,55.698242,26.160000,63.000000,100
23-03-2021-10:55:34,54.785156,26.150000,63.000000,100
23-03-2021-10:55:37,54.677734,26.150000,63.000000,100
23-03-2021-10:55:39,55.268555,26.160000,63.000000,100
23-03-2021-10:55:41,58.276367,26.160000,63.000000,82
23-03-2021-10:55:44,56.342773,26.160000,63.000000,100
23-03-2021-10:55:46,55.322266,26.160000,63.000000,100
23-03-2021-10:55:48,55.429688,26.170000,63.000000,100
23-03-2021-10:55:51,54.892578,26.180000,63.000000,100
23-03-2021-10:55:53,56.772461,26.180000,63.000000,100
23-03-2021-10:55:55,57.524414,26.190001,63.000000,100
23-03-2021-10:55:58,61.821289,26.200001,63.000000,62
23-03-2021-10:56:00,62.680664,26.200001,63.000000,71
23-03-2021-10:56:02,64.077148,26.209999,63.000000,44
23-03-2021-10:56:05,64.345703,26.209999,63.000000,80
23-03-2021-10:56:07,64.399414,26.209999,63.000000,86
23-03-2021-10:56:09,64.399414,26.209999,63.000000,83
23-03-2021-10:56:12,64.399414,26.219999,63.000000,81
23-03-2021-10:56:14,66.655273,26.230000,63.000000,16
23-03-2021-10:56:16,68.427734,26.240000,63.000000,-16
23-03-2021-10:56:19,69.448242,26.240000,63.000000,-6
23-03-2021-10:56:21,69.877930,26.250000,63.000000,-1
23-03-2021-10:56:23,70.146484,26.250000,63.000000,-2
23-03-2021-10:56:26,70.253906,26.260000,63.000000,-17
23-03-2021-10:56:28,71.328125,26.260000,63.000000,-39
23-03-2021-10:56:31,71.328125,26.260000,63.000000,-57
23-03-2021-10:56:33,72.456055,26.270000,63.000000,-100
23-03-2021-10:56:35,72.294922,26.280001,63.000000,-91
23-03-2021-10:56:38,73.208008,26.280001,63.000000,-100
23-03-2021-10:56:40,70.361328,26.290001,63.000000,-100
23-03-2021-10:56:42,69.877930,26.290001,63.000000,-100
23-03-2021-10:56:45,68.212891,26.280001,63.000000,-100
23-03-2021-10:56:47,66.601562,26.280001,63.000000,-87
23-03-2021-10:56:49,65.527344,26.280001,63.000000,-75
23-03-2021-10:56:52,64.560547,26.270000,63.000000,-73
23-03-2021-10:56:54,62.250977,26.260000,63.000000,-14
23-03-2021-10:56:56,61.123047,26.260000,63.000000,-47
23-03-2021-10:56:59,61.015625,26.250000,63.000000,-82
23-03-2021-10:57:01,60.102539,26.250000,63.000000,-72
23-03-2021-10:57:03,59.780273,26.240000,63.000000,-64
23-03-2021-10:57:06,60.800781,26.230000,63.000000,-100
23-03-2021-10:57:08,59.833984,26.219999,63.000000,-19
23-03-2021-10:57:10,59.404297,26.219999,63.000000,-29
23-03-2021-10:57:13,58.437500,26.240000,63.000000,2
23-03-2021-10:57:15,58.598633,26.230000,63.000000,-23
23-03-2021-10:57:17,58.920898,26.240000,63.000000,-17
23-03-2021-10:57:20,59.833984,26.240000,63.000000,-15
23-03-2021-10:57:22,61.069336,26.250000,63.000000,-43
23-03-2021-10:57:24,62.036133,26.250000,63.000000,-52
23-03-2021-10:57:27,62.949219,26.260000,63.000000,-54
23-03-2021-10:57:29,62.304688,26.250000,63.000000,4
23-03-2021-10:57:31,62.358398,26.250000,63.000000,-17
23-03-2021-10:57:34,62.573242,26.250000,49.000000,-100
23-03-2021-10:57:36,63.486328,26.260000,49.000000,-100
23-03-2021-10:57:38,63.647461,26.250000,49.000000,-100
23-03-2021-10:57:41,61.499023,26.250000,49.000000,-87
23-03-2021-10:57:43,60.371094,26.250000,49.000000,-100
23-03-2021-10:57:45,58.061523,26.250000,49.000000,-64
23-03-2021-10:57:48,56.933594,26.250000,49.000000,-100
23-03-2021-10:57:50,55.859375,26.250000,49.000000,-100
23-03-2021-10:57:52,56.181641,26.250000,49.000000,-100
23-03-2021-10:57:55,53.925781,26.260000,49.000000,-56
23-03-2021-10:57:57,53.281250,26.260000,49.000000,-98
23-03-2021-10:58:00,53.227539,26.250000,49.000000,-100
23-03-2021-10:58:02,54.677734,26.260000,49.000000,-100
23-03-2021-10:58:04,54.194336,26.260000,49.000000,-100
23-03-2021-10:58:07,54.086914,26.250000,49.000000,-100
23-03-2021-10:58:09,52.797852,26.250000,49.000000,-100
23-03-2021-10:58:11,51.938477,26.250000,49.000000,-100
